COUNTY	CASES	DEATHS	RECOVERED
Weld-Colorado	107	4	0
Yuma-Colorado	2	0	0
Fairfield-Connecticut	752	15	0
Hartford-Connecticut	189	2	0
Litchfield-Connecticut	52	0	0
Middlesex-Connecticut	25	1	0
New Haven-Connecticut	222	6	0
New London-Connecticut	15	0	0
Tolland-Connecticut	33	3	0
Windham-Connecticut	3	0	0
Kent-Delaware	21	0	0
New Castle-Delaware	105	0	0
Sussex-Delaware	37	1	0
Washington-District of Columbia	0	0	0
Alachua-Florida	57	0	0
Baker-Florida	7	0	0
Bay-Florida	3	0	0
Bradford-Florida	1	0	0
Brevard-Florida	16	0	0
Broward-Florida	614	5	0
Calhoun-Florida	0	0	0
Charlotte-Florida	5	0	0
Citrus-Florida	11	1	0
Clay-Florida	22	4	0
Collier-Florida	81	0	0
Columbia-Florida	3	0	0
Dade-Florida	0	0	0
De Soto-Florida	0	0	0
Dixie-Florida	0	0	0
Duval-Florida	90	3	0
Escambia-Florida	22	0	0
Flagler-Florida	11	0	0
Franklin-Florida	0	0	0
Gadsden-Florida	1	0	0
Gilchrist-Florida	0	0	0
Glades-Florida	0	0	0
Gulf-Florida	0	0	0
Hamilton-Florida	0	0	0
Hardee-Florida	0	0	0
Hendry-Florida	0	0	0
Hernando-Florida	10	0	0
Highlands-Florida	5	1	0
Hillsborough-Florida	167	1	0
Holmes-Florida	0	0	0
Indian River-Florida	14	0	0
Jackson-Florida	1	0	0
Jefferson-Florida	0	0	0
Lafayette-Florida	0	0	0
Lake-Florida	29	0	0
Lee-Florida	76	4	0
Leon-Florida	14	0	0
Levy-Florida	0	0	0
Liberty-Florida	0	0	0
Madison-Florida	0	0	0
Manatee-Florida	28	1	0
Marion-Florida	8	0	0
Martin-Florida	16	0	0
Monroe-Florida	16	0	0
Nassau-Florida	6	0	0
Okaloosa-Florida	23	0	0
Okeechobee-Florida	0	0	0
Orange-Florida	156	4	0
Osceola-Florida	53	0	0
Palm Beach-Florida	194	3	0
Pasco-Florida	23	1	0
Pinellas-Florida	77	1	0
Polk-Florida	26	0	0
Putnam-Florida	12	0	0
St Johns-Florida	0	0	0
St Lucie-Florida	0	0	0
Santa Rosa-Florida	11	1	0
Sarasota-Florida	40	2	0
Seminole-Florida	49	0	0
Sumter-Florida	29	0	0
Suwannee-Florida	1	0	0
Taylor-Florida	0	0	0
Union-Florida	0	0	0
Volusia-Florida	39	0	0
Wakulla-Florida	0	0	0
Walton-Florida	13	0	0
Washington-Florida	1	0	0
Appling-Georgia	0	0	0
Atkinson-Georgia	0	0	0
Bacon-Georgia	0	0	0
Baker-Georgia	1	0	0
Baldwin-Georgia	2	0	0
Banks-Georgia	0	0	0
Barrow-Georgia	6	0	0
Bartow-Georgia	98	1	0
Ben Hill-Georgia	2	0	0
Berrien-Georgia	0	0	0
Bibb-Georgia	10	0	0
Bleckley-Georgia	0	0	0
Brantley-Georgia	0	0	0
Brooks-Georgia	0	0	0
Bryan-Georgia	4	0	0
Bulloch-Georgia	0	0	0
Burke-Georgia	3	0	0
Butts-Georgia	3	0	0
Calhoun-Georgia	2	0	0
Camden-Georgia	2	0	0
Candler-Georgia	0	0	0
Carroll-Georgia	55	0	0
Catoosa-Georgia	1	0	0
Charlton-Georgia	1	0	0
Chatham-Georgia	10	0	0
Chattahoochee-Georgia	0	0	0
Chattooga-Georgia	1	0	0
Cherokee-Georgia	46	0	0
Clarke-Georgia	32	1	0
Clay-Georgia	0	0	0
Clayton-Georgia	46	0	0
Clinch-Georgia	1	0	0
Cobb-Georgia	144	2	0
Coffee-Georgia	3	0	0
Colquitt-Georgia	4	0	0
Columbia-Georgia	10	0	0
Cook-Georgia	0	0	0
Coweta-Georgia	19	0	0
Crawford-Georgia	0	0	0
Crisp-Georgia	4	0	0
Dade-Georgia	0	0	0
Dawson-Georgia	2	0	0
Decatur-Georgia	2	0	0
De Kalb-Georgia	0	0	0
Dodge-Georgia	1	0	0
Dooly-Georgia	0	0	0
Dougherty-Georgia	193	12	0
Douglas-Georgia	27	0	0
Early-Georgia	10	1	0
Echols-Georgia	0	0	0
Effingham-Georgia	4	0	0
Elbert-Georgia	0	0	0
Emanuel-Georgia	0	0	0
Evans-Georgia	0	0	0
Fannin-Georgia	2	0	0
Fayette-Georgia	19	1	0
Floyd-Georgia	20	1	0
Forsyth-Georgia	19	0	0
Franklin-Georgia	1	0	0
Fulton-Georgia	307	2	0
Gilmer-Georgia	0	0	0
Glascock-Georgia	0	0	0
Glynn-Georgia	6	0	0
Gordon-Georgia	12	0	0
Grady-Georgia	0	0	0
Greene-Georgia	1	0	0
Gwinnett-Georgia	102	1	0
Habersham-Georgia	1	0	0
Hall-Georgia	24	0	0
Hancock-Georgia	0	0	0
Haralson-Georgia	1	0	0
Harris-Georgia	1	0	0
Hart-Georgia	0	0	0
Heard-Georgia	1	0	0
Henry-Georgia	40	0	0
Houston-Georgia	9	0	0
Irwin-Georgia	3	0	0
Jackson-Georgia	2	0	0
Jasper-Georgia	2	0	0
Jeff Davis-Georgia	0	0	0
Jefferson-Georgia	0	0	0
Jenkins-Georgia	0	0	0
Johnson-Georgia	0	0	0
Jones-Georgia	2	0	0
Lamar-Georgia	3	0	0
Lanier-Georgia	0	0	0
Laurens-Georgia	7	0	0
Lee-Georgia	35	0	0
Liberty-Georgia	1	0	0
Lincoln-Georgia	3	0	0
Long-Georgia	1	0	0
Lowndes-Georgia	16	0	0
Lumpkin-Georgia	4	0	0
McDuffie-Georgia	0	0	0
McIntosh-Georgia	0	0	0
Macon-Georgia	1	0	0
Madison-Georgia	3	0	0
Marion-Georgia	0	0	0
Meriwether-Georgia	3	0	0
Miller-Georgia	2	0	0
Mitchell-Georgia	14	0	0
Monroe-Georgia	3	0	0
Montgomery-Georgia	0	0	0
Morgan-Georgia	1	0	0
Murray-Georgia	0	0	0
Muscogee-Georgia	8	0	0
Newton-Georgia	15	0	0
Oconee-Georgia	10	0	0
Oglethorpe-Georgia	0	0	0
Paulding-Georgia	12	0	0
Peach-Georgia	6	0	0
Pickens-Georgia	4	0	0
Pierce-Georgia	1	0	0
Pike-Georgia	0	0	0
Polk-Georgia	10	0	0
Pulaski-Georgia	1	0	0
Putnam-Georgia	0	0	0
Quitman-Georgia	0	0	0
Rabun-Georgia	0	0	0
Randolph-Georgia	3	0	0
Richmond-Georgia	11	0	0
Rockdale-Georgia	16	0	0
Schley-Georgia	0	0	0
Screven-Georgia	0	0	0
Seminole-Georgia	2	0	0
Spalding-Georgia	11	0	0
Stephens-Georgia	1	0	0
Stewart-Georgia	0	0	0
Sumter-Georgia	10	0	0
Talbot-Georgia	0	0	0
Taliaferro-Georgia	0	0	0
Tattnall-Georgia	2	0	0
Taylor-Georgia	1	0	0
Telfair-Georgia	0	0	0
Terrell-Georgia	6	0	0
Thomas-Georgia	3	0	0
